"","topic","gamma","id"
"882",7,0.77692,6675
"883",12,0.99816,6681
"884",11,0.99795,6684
"885",11,0.94063,6686
"886",11,0.99893,6690
"887",4,0.51541,6694
"888",7,0.99944,6705
"889",6,0.99766,6706
"890",6,0.42279,6711
"891",8,0.99418,6717
"892",6,0.99798,6718
"893",10,0.85478,6726
"894",4,0.73839,6727
"895",12,0.89027,6729
"896",7,0.81958,6736
"897",4,0.54202,6746
"898",11,0.99668,6753
"899",1,0.87392,6772
"900",3,0.9975,6773
"901",12,0.74908,6778
"902",1,0.42471,6779
"903",9,0.55674,6788
"904",11,0.90627,6789
"905",4,0.75644,6800
"906",8,0.99779,6801
"907",5,0.6839,6807
"908",2,0.96821,6810
"909",11,0.43342,6818
"910",8,0.99661,6821
"911",11,0.4224,6826
"912",12,0.99838,6828
"913",6,0.99557,6831
"914",6,0.61004,6839
"915",12,0.99703,6841
"916",12,0.76687,6852
"917",4,0.81171,6862
"918",4,0.99898,6866
"919",7,0.67065,6875
"920",6,0.99678,6888
"921",6,0.81831,6901
"922",6,0.99888,6920
"923",4,0.99508,6952
"924",12,0.9992,6967
"925",6,0.91373,6977
"926",10,0.50783,6983
"927",5,0.99668,6991
"928",11,0.52103,7016
"929",4,0.8875,7035
"930",4,0.41705,7050
"931",4,0.64254,7061
"932",3,0.99384,7070
"933",3,0.99574,7072
"934",9,0.61183,7082
"935",12,0.48509,7083
"936",1,0.50303,7084
"937",3,0.74756,7090
"938",7,0.85892,7093
"939",5,0.5571,7104
"940",4,0.99771,7111
"941",6,0.99776,7119
"942",2,0.82389,7121
"943",4,0.99744,7127
"944",9,0.83656,7130
"945",1,0.42889,7135
"946",11,0.71804,7137
"947",9,0.98442,7149
"948",6,0.72528,7151
"949",11,0.37731,7155
"950",4,0.43191,7163
"951",2,0.8475,7174
"952",9,0.57181,7180
"953",12,0.89425,7187
"954",4,0.86008,7196
"955",12,0.54016,7198
"956",12,0.99834,7203
"957",9,0.80994,7220
"958",11,0.70882,7227
"959",3,0.47677,7228
"960",2,0.69208,7230
"961",2,0.69967,7239
"962",6,0.79445,7249
"963",6,0.6551,7268
"964",12,0.58544,7281
"965",9,0.50494,7288
"966",11,0.95456,7292
"967",1,0.80858,7293
"968",8,0.51243,7294
"969",3,0.83618,7304
"970",12,0.85728,7305
"971",12,0.63908,7316
"972",1,0.52208,7317
"973",7,0.99894,7320
"974",9,0.9927,7334
"975",12,0.38741,7347
"976",9,0.80523,7348
"977",8,0.54905,7356
"978",2,0.39318,7360
"979",2,0.6961,7370
"980",10,0.34344,7376
"981",8,0.96459,7388
"982",12,0.33296,7390
"983",7,0.79029,7396
"984",8,0.99846,7398
"985",6,0.85402,7409
"986",6,0.83816,7422
"987",9,0.27459,7426
"988",9,0.28126,7456
"989",11,0.40051,7459
"990",11,0.9958,7461
"991",12,0.56449,7470
"992",4,0.77731,7474
"993",8,0.99798,7490
"994",11,0.99711,7495
"995",12,0.60739,7503
"996",4,0.83947,7504
"997",12,0.94436,7506
"998",12,0.91898,7521
"999",10,0.67393,7523
"1000",11,0.76706,7532
"1001",12,0.57535,7544
"1002",8,0.997,7549
"1003",3,0.9326,7555
"1004",1,0.34135,7564
"1005",2,0.47346,7570
"1006",3,0.4187,7573
"1007",11,0.99757,7582
"1008",1,0.99859,7591
"1009",11,0.99634,7602
"1010",6,0.93405,7615
"1011",9,0.47346,7638
"1012",8,0.79219,7643
"1013",3,0.60524,7644
"1014",5,0.74827,7649
"1015",9,0.5164,7656
"1016",6,0.98338,7674
"1017",1,0.56915,7678
"1018",6,0.997,7686
"1019",6,0.72953,7687
"1020",8,0.99646,7699
"1021",6,0.62132,7700
"1022",7,0.89032,7723
"1023",11,0.53879,7746
"1024",12,0.81898,7747
"1025",12,0.98994,7748
"1026",6,0.60174,7774
"1027",10,0.99888,7775
"1028",11,0.74188,7776
"1029",4,0.90963,7777
"1030",4,0.8712,7779
"1031",4,0.89843,7783
"1032",5,0.59285,7794
"1033",11,0.48896,7802
"1034",8,0.99826,7827
"1035",8,0.95322,7838
"1036",12,0.84964,7840
"1037",8,0.97021,7844
"1038",5,0.99823,7861
"1039",6,0.99661,7864
"1040",10,0.3615,7888
"1041",8,0.99894,7904
"1042",2,0.89256,7907
"1043",3,0.59543,7908
"1044",11,0.45429,7917
"1045",8,0.99864,7936
"1046",12,0.84476,7940
"1047",9,0.48605,7954
"1048",6,0.99801,7961
"1049",12,0.74356,7964
"1050",2,0.9041,7971
"1051",12,0.99741,7972
"1052",12,0.99629,7977
"1053",5,0.9973,7998
"1054",12,0.9981,8008
